,name,price,tdp,date,socket,category,speed,turbo,cpuCount,cores,logicals,rank,samples,extracted_ghz,brand,final_family,model_only,socket_final,category_final,speed_ghz,turbo_ghz,cost_per_rank_point,cost_per_core
3798,"Qualcomm Technologies, Inc KONA",,0.0,2021-01-01,Unknown,Mobile/Embedded,2842.0,,1,8,1,1240,1266,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc KONA",Unknown,Embedded/IoT,2.84,,,
3799,"Qualcomm Technologies, Inc KONA-IOT",,0.0,2022-07-01,Unknown,Mobile/Embedded,2841.0,,1,8,1,937,1,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc KONA-IOT",Unknown,Embedded/IoT,2.84,,,
3800,"Qualcomm Technologies, Inc LAGOON",,0.0,2021-01-01,Unknown,Mobile/Embedded,2074.0,,1,8,1,1682,110,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc LAGOON",Unknown,Embedded/IoT,2.07,,,
3801,"Qualcomm Technologies, Inc LITO",,0.0,2021-01-01,Unknown,Mobile/Embedded,2400.0,,1,8,1,1697,511,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc LITO",Unknown,Embedded/IoT,2.4,,,
3802,"Qualcomm Technologies, Inc MSM8216",,0.0,2021-03-01,Unknown,Mobile/Embedded,1190.0,,1,4,1,3740,1,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc MSM8216",Unknown,Embedded/IoT,1.19,,,
3803,"Qualcomm Technologies, Inc MSM8909",,0.0,2021-02-01,Unknown,Mobile/Embedded,1267.0,,1,4,1,3767,34,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc MSM8909",Unknown,Embedded/IoT,1.27,,,
3804,"Qualcomm Technologies, Inc MSM8916",,0.0,2021-02-01,Unknown,Mobile/Embedded,1209.0,,1,4,1,3625,82,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc MSM8916",Unknown,Embedded/IoT,1.21,,,
3805,"Qualcomm Technologies, Inc MSM8917",,0.0,2021-02-01,Unknown,Mobile/Embedded,1401.0,,1,4,1,3506,188,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc MSM8917",Unknown,Embedded/IoT,1.4,,,
3806,"Qualcomm Technologies, Inc MSM8920",,0.0,2021-02-01,Unknown,Mobile/Embedded,1401.0,,1,4,1,3559,11,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc MSM8920",Unknown,Embedded/IoT,1.4,,,
3807,"Qualcomm Technologies, Inc MSM8929",,0.0,2021-04-01,Unknown,Mobile/Embedded,1363.0,,1,8,1,3442,3,,Qualcomm,Specialized/Generic ARM,"Technologies, Inc MSM8929",Unknown,Embedded/IoT,1.36,,,
